measurement_id,row,col,aod_055,tile_id,aod_datetime
993,252,920,-28672.0,h27v07,2019-08-30 06:40:00+00:00
36904,931,23,-28672.0,h28v07,2021-05-12 03:05:00+00:00
46177,570,138,-28672.0,h28v07,2021-05-12 03:05:00+00:00
12915,252,920,-28672.0,h27v07,2021-02-12 04:50:00+00:00
12916,252,920,-28672.0,h27v07,2021-02-12 04:50:00+00:00
188487,931,23,-28672.0,h28v07,2024-04-04 07:25:00+00:00
188488,931,23,-28672.0,h28v07,2024-04-04 07:25:00+00:00
192704,570,138,-28672.0,h28v07,2024-04-04 07:25:00+00:00
192705,570,138,-28672.0,h28v07,2024-04-04 07:25:00+00:00
197814,414,46,-28672.0,h28v07,2024-04-04 07:25:00+00:00
197815,414,46,-28672.0,h28v07,2024-04-04 07:25:00+00:00
206194,505,27,380.0,h28v07,2024-04-04 07:25:00+00:00
206195,505,27,380.0,h28v07,2024-04-04 07:25:00+00:00
207555,494,75,-28672.0,h28v07,2024-04-04 07:25:00+00:00
207556,494,75,-28672.0,h28v07,2024-04-04 07:25:00+00:00
208268,589,87,-28672.0,h28v07,2024-04-04 07:25:00+00:00
208269,589,87,-28672.0,h28v07,2024-04-04 07:25:00+00:00
14212,252,920,-28672.0,h27v07,2021-04-07 04:10:00+00:00
14213,252,920,-28672.0,h27v07,2021-04-07 04:10:00+00:00
230,252,920,-28672.0,h27v07,2019-06-20 05:10:00+00:00
231,252,920,-28672.0,h27v07,2019-06-20 05:10:00+00:00
2598,252,920,58.0,h27v07,2019-10-19 03:25:00+00:00
2599,252,920,58.0,h27v07,2019-10-19 03:25:00+00:00
10777,252,920,63.0,h27v07,2020-11-26 06:05:00+00:00
10778,252,920,63.0,h27v07,2020-11-26 06:05:00+00:00
53148,252,920,-28672.0,h27v07,2021-06-14 06:50:00+00:00
53149,252,920,-28672.0,h27v07,2021-06-14 06:50:00+00:00
53891,758,918,-28672.0,h27v07,2021-06-14 06:50:00+00:00
53892,758,918,-28672.0,h27v07,2021-06-14 06:50:00+00:00
54250,759,934,-28672.0,h27v07,2021-06-14 06:50:00+00:00
54251,759,934,-28672.0,h27v07,2021-06-14 06:50:00+00:00
54617,188,557,-28672.0,h27v07,2021-06-14 06:50:00+00:00
54618,188,557,-28672.0,h27v07,2021-06-14 06:50:00+00:00
54974,224,622,-28672.0,h27v07,2021-06-14 06:50:00+00:00
54975,224,622,-28672.0,h27v07,2021-06-14 06:50:00+00:00
55323,763,905,-28672.0,h27v07,2021-06-14 06:50:00+00:00
55324,763,905,-28672.0,h27v07,2021-06-14 06:50:00+00:00
55685,746,904,-28672.0,h27v07,2021-06-14 06:50:00+00:00
55686,746,904,-28672.0,h27v07,2021-06-14 06:50:00+00:00
56051,754,926,-28672.0,h27v07,2021-06-14 06:50:00+00:00
56052,754,926,-28672.0,h27v07,2021-06-14 06:50:00+00:00
56412,760,930,-28672.0,h27v07,2021-06-14 06:50:00+00:00
56413,760,930,-28672.0,h27v07,2021-06-14 06:50:00+00:00
56775,756,906,-28672.0,h27v07,2021-06-14 06:50:00+00:00
56776,756,906,-28672.0,h27v07,2021-06-14 06:50:00+00:00
57060,737,912,-28672.0,h27v07,2021-06-14 06:50:00+00:00
57061,737,912,-28672.0,h27v07,2021-06-14 06:50:00+00:00
57417,742,932,-28672.0,h27v07,2021-06-14 06:50:00+00:00
57418,742,932,-28672.0,h27v07,2021-06-14 06:50:00+00:00
57775,756,916,-28672.0,h27v07,2021-06-14 06:50:00+00:00
57776,756,916,-28672.0,h27v07,2021-06-14 06:50:00+00:00
58049,285,647,-28672.0,h27v07,2021-06-14 06:50:00+00:00
58050,285,647,-28672.0,h27v07,2021-06-14 06:50:00+00:00
58226,426,1116,-28672.0,h27v07,2021-06-14 06:50:00+00:00
58227,426,1116,-28672.0,h27v07,2021-06-14 06:50:00+00:00
58586,879,1057,-28672.0,h27v07,2021-06-14 06:50:00+00:00
58587,879,1057,-28672.0,h27v07,2021-06-14 06:50:00+00:00
58906,755,919,-28672.0,h27v07,2021-06-14 06:50:00+00:00
58907,755,919,-28672.0,h27v07,2021-06-14 06:50:00+00:00
59264,871,1037,-28672.0,h27v07,2021-06-14 06:50:00+00:00
59265,871,1037,-28672.0,h27v07,2021-06-14 06:50:00+00:00
59614,746,921,-28672.0,h27v07,2021-06-14 06:50:00+00:00
59615,746,921,-28672.0,h27v07,2021-06-14 06:50:00+00:00
59973,761,918,-28672.0,h27v07,2021-06-14 06:50:00+00:00
