measurement_id,row,col,aod_055,tile_id,aod_datetime
80601,75,343,339.0,h27v07,2024-01-25 03:40:00+00:00
80602,75,343,339.0,h27v07,2024-01-25 03:40:00+00:00
83270,147,446,442.0,h27v07,2024-01-25 03:40:00+00:00
83271,147,446,442.0,h27v07,2024-01-25 03:40:00+00:00
85192,123,422,-28672.0,h27v07,2024-01-25 03:40:00+00:00
85193,123,422,-28672.0,h27v07,2024-01-25 03:40:00+00:00
87055,73,345,344.0,h27v07,2024-01-25 03:40:00+00:00
87056,73,345,344.0,h27v07,2024-01-25 03:40:00+00:00
88770,77,345,339.0,h27v07,2024-01-25 03:40:00+00:00
88771,77,345,339.0,h27v07,2024-01-25 03:40:00+00:00
121594,206,538,339.0,h27v07,2024-01-25 03:40:00+00:00
121595,206,538,339.0,h27v07,2024-01-25 03:40:00+00:00
139304,145,445,466.0,h27v07,2024-01-25 03:40:00+00:00
164763,83,295,227.0,h27v07,2024-01-25 03:40:00+00:00
164764,83,295,227.0,h27v07,2024-01-25 03:40:00+00:00
182036,171,466,349.0,h27v07,2024-01-25 03:40:00+00:00
182037,171,466,349.0,h27v07,2024-01-25 03:40:00+00:00
199069,139,440,463.0,h27v07,2024-01-25 03:40:00+00:00
199070,139,440,463.0,h27v07,2024-01-25 03:40:00+00:00
208531,180,395,364.0,h27v07,2024-01-25 03:40:00+00:00
208532,180,395,364.0,h27v07,2024-01-25 03:40:00+00:00
243726,48,387,-28672.0,h27v07,2024-01-25 03:40:00+00:00
243727,48,387,-28672.0,h27v07,2024-01-25 03:40:00+00:00
248892,263,505,-28672.0,h27v07,2024-01-25 03:40:00+00:00
248893,263,505,-28672.0,h27v07,2024-01-25 03:40:00+00:00
2717,75,344,-28672.0,h27v07,2023-08-12 06:20:00+00:00
2718,75,344,-28672.0,h27v07,2023-08-12 06:20:00+00:00
8485,137,437,-28672.0,h27v07,2023-08-12 06:20:00+00:00
8486,137,437,-28672.0,h27v07,2023-08-12 06:20:00+00:00
